c_number	Ko_ID	KEGG_pathway_def	Compound_def
C20842	ko01110	Biosynthesis of secondary metabolites	2-Hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA
C20847	ko01110	Biosynthesis of secondary metabolites	(R)-Mevalonate 3-phosphate; (R)-3-Phosphomevalonate
C20848	ko01110	Biosynthesis of secondary metabolites	(R)-Mevalonate 3,5-bisphosphate; (R)-3,5-Diphosphomevalonate; (R)-3,5-Bisphosphomevalonate
C20851	ko01110	Biosynthesis of secondary metabolites	Dihydromonacolin L acid; (3R,5R)-7-[(1S,2S,4aR,6R,8aS)-2,6-Dimethyl-1,2,4a,5,6,7,8,8a-octahydronapht
C20852	ko01110	Biosynthesis of secondary metabolites	3alpha-Hydroxy-3,5-dihydromonacolin L acid; (3R,5R)-7-[(1R,2R,3S,6R,8aR)-3-Hydroxy-2,6-dimethyl-1,2,
C20853	ko01110	Biosynthesis of secondary metabolites	Monacolin L acid; (3R,5R)-7-[(1S,2S,6R,8aR)-2,6-Dimethyl-1,2,6,7,8,8a-hexahydronaphthalen-1-yl]-3,5-
C20854	ko01110	Biosynthesis of secondary metabolites	Monacolin J acid; (3R,5R)-7-[(1S,2S,6R,8S,8aR)-8-Hydroxy-2,6-dimethyl-1,2,6,7,8,8a-hexahydronaphthal
C20856	ko01110	Biosynthesis of secondary metabolites	2-Hydroxy-5-methyl-1-naphthoate
C20857	ko01110	Biosynthesis of secondary metabolites	2,7-Dihydroxy-5-methyl-1-naphthoate
C20876	ko01110	Biosynthesis of secondary metabolites	Very-long-chain acyl-CoA
C20877	ko01110	Biosynthesis of secondary metabolites	Very-long-chain 3-oxoacyl-CoA
C20878	ko01110	Biosynthesis of secondary metabolites	Very-long-chain (3R)-3-hydroxyacyl-CoA
C20879	ko01110	Biosynthesis of secondary metabolites	Very-long-chain trans-2,3-dehydroacyl-CoA
C20894	ko01110	Biosynthesis of secondary metabolites	beta-Citraurin; 3-Hydroxy-beta-apo-8'-carotenal; 3beta-Hydroxy-8'-apo-beta-carotenal
C20913	ko01110	Biosynthesis of secondary metabolites	C20913; Tabtoxin biosynthesis intermediate 3
C20914	ko01110	Biosynthesis of secondary metabolites	C20914; Tabtoxin biosynthesis intermediate 4
C20915	ko01110	Biosynthesis of secondary metabolites	C20915; Tabtoxin biosynthesis intermediate 5
C20916	ko01110	Biosynthesis of secondary metabolites	C20916; Tabtoxin biosynthesis intermediate 6
C20917	ko01110	Biosynthesis of secondary metabolites	Tabtoxin; beta-Tabtoxin
C20918	ko01110	Biosynthesis of secondary metabolites	Tabtoxinine-beta-lactam
C20921	ko01110	Biosynthesis of secondary metabolites	N1-Acetyl-tabtoxinine-beta-lactam
C20928	ko01110	Biosynthesis of secondary metabolites	MM 42842
C20929	ko01110	Biosynthesis of secondary metabolites	3alpha-Hydroxy-3-aminoacylmonobactamic acid
C20940	ko01110	Biosynthesis of secondary metabolites	L-Dihydroanticapsin
C20941	ko01110	Biosynthesis of secondary metabolites	L-Anticapsin; Anticapsin
C20942	ko01110	Biosynthesis of secondary metabolites	Bacilysin
C20943	ko01110	Biosynthesis of secondary metabolites	(R)-Ipsdienol; (4R)-2-Methyl-6-methyleneocta-2,7-dien-4-ol
C20944	ko01110	Biosynthesis of secondary metabolites	Ipsdienone; 2-Methyl-6-methyleneocta-2,7-dien-4-one
C20953	ko01110	Biosynthesis of secondary metabolites	3-[(4R)-4-Hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate
C20956	ko01110	Biosynthesis of secondary metabolites	alpha-D-Sedoheptulopyranose 7-phosphate
C20961	ko01110	Biosynthesis of secondary metabolites	N3-Fumaroyl-L-2,3-diaminopropanoate; N3-Fumaroyl-(S)-2,3-diaminopropanoate; (2E)-4-{[(2S)-2-Amino-2-
C20962	ko01110	Biosynthesis of secondary metabolites	Dapdiamide A; 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanyl-L-valine
C20963	ko01110	Biosynthesis of secondary metabolites	Dapdiamide B; 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanyl-L-isoleucine
C20964	ko01110	Biosynthesis of secondary metabolites	Dapdiamide C; 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanyl-L-leucine
C20966	ko01110	Biosynthesis of secondary metabolites	3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine
C20974	ko01110	Biosynthesis of secondary metabolites	8-Demethyl-8-alpha-L-rhamnosyltetracenomycin C
C20975	ko01110	Biosynthesis of secondary metabolites	8-Demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)tetracenomycin C
C20976	ko01110	Biosynthesis of secondary metabolites	8-Demethyl-8-(2,3-di-O-methyl-alpha-L-rhamnosyl)tetracenomycin C
C20977	ko01110	Biosynthesis of secondary metabolites	8-Demethyl-8-(2,3,4-tri-O-methyl-alpha-L-rhamnosyl)tetracenomycin C
C20981	ko01110	Biosynthesis of secondary metabolites	5,10-Dihydrophenazine-1-carboxylate
C20982	ko01110	Biosynthesis of secondary metabolites	9-(Dimethylallyl)-5,10-dihydrophenazine-1-carboxylate; 9-Prenyl-5,10-dihydrophenazine-1-carboxylate;
C21071	ko01110	Biosynthesis of secondary metabolites	dTDP-3-O-methyl-4-oxo-2,6-dideoxy-L-mannose; dTDP-4-keto-3-O-methyl-2,6-dideoxy-L-mannose
C21073	ko01110	Biosynthesis of secondary metabolites	dTDP-3-N,N-dimethylamino-2,3,6-trideoxy-4-keto-D-glucose; dTDP-3-N,N-dimethylamino-4-oxo-2,3,6-tride
C21074	ko01110	Biosynthesis of secondary metabolites	dTDP-3-N,N-dimethylamino-4-oxo-2,3,6-trideoxy-L-allose; dTDP-3-N,N-dimethylamino-4-keto-2,3,6-trideo
C21084	ko01110	Biosynthesis of secondary metabolites	Demethylphylloquinol
C21085	ko01110	Biosynthesis of secondary metabolites	3-[(1E,4R)-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate
C21086	ko01110	Biosynthesis of secondary metabolites	(3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate; Epoxy-3E-H2HPP
C21087	ko01110	Biosynthesis of secondary metabolites	3-[(1R,2S,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate; Epoxy-4S-H4HPP
C21093	ko01110	Biosynthesis of secondary metabolites	Terpentecin
C21106	ko01110	Biosynthesis of secondary metabolites	24-epi-Campesterol
C21108	ko01110	Biosynthesis of secondary metabolites	Dihydromonacolin L-[acyl-carrier protein]
C21109	ko01110	Biosynthesis of secondary metabolites	Aminopyrrolnitrin
C21110	ko01110	Biosynthesis of secondary metabolites	Monodechloroaminopyrrolnitrin
C21124	ko01110	Biosynthesis of secondary metabolites	IPA imine; 2-Imino-3-(indol-3-yl)propanoate
C21125	ko01110	Biosynthesis of secondary metabolites	Chromopyrrolate; Chromopyrrolic acid
C21126	ko01110	Biosynthesis of secondary metabolites	K-252c
C21127	ko01110	Biosynthesis of secondary metabolites	Holyrine A
C21128	ko01110	Biosynthesis of secondary metabolites	O-Demethyl-N-demethyl-staurosporine; 3'-O-Demethyl-4'-N-demethyl-staurosporine
C21129	ko01110	Biosynthesis of secondary metabolites	(S)-2-Methylbutanoyl-[acp]; (S)-2-Methylbutanoyl-[acyl-carrier protein]
C21130	ko01110	Biosynthesis of secondary metabolites	Lovastatin acid; Mevinolinic acid
C21131	ko01110	Biosynthesis of secondary metabolites	Protodeoxyviolaceinic acid; Protodeoxyviolaceinate
C21134	ko01110	Biosynthesis of secondary metabolites	Protoviolaceinic acid; Protoviolaceinate
C21135	ko01110	Biosynthesis of secondary metabolites	Violaceinic acid; Violaceinate
C21136	ko01110	Biosynthesis of secondary metabolites	Violacein
C21137	ko01110	Biosynthesis of secondary metabolites	dTDP-3-amino-4-oxo-2,3,6-trideoxy-L-allose; dTDP-3-amino-4-keto-2,3,6-trideoxy-L-allose
C21138	ko01110	Biosynthesis of secondary metabolites	trans-2-Octenal; (E)-Oct-2-enal
C21139	ko01110	Biosynthesis of secondary metabolites	(S)-3-Acetyloctanal
C21140	ko01110	Biosynthesis of secondary metabolites	Aurachin B
C21141	ko01110	Biosynthesis of secondary metabolites	4-Hydroxy-2-methyl-3-oxo-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide
C21156	ko01110	Biosynthesis of secondary metabolites	Acarbose 7IV-phosphate; Acarbose 7-phosphate
C21176	ko01110	Biosynthesis of secondary metabolites	3''-Oxoribostamycin
C21183	ko01110	Biosynthesis of secondary metabolites	Bursehernin; (-)-Bursehernin; (3R,4R)-4-(2H-1,3-Benzodioxol-5-ylmethyl)-3-[(3,4-dimethoxyphenyl)meth
C21184	ko01110	Biosynthesis of secondary metabolites	(-)-5'-Demethylyatein; (3R,4R)-4-(2H-1,3-Benzodioxol-5-ylmethyl)-3-[(3-hydroxy-4,5-dimethoxyphenyl)m
C21191	ko01110	Biosynthesis of secondary metabolites	Pluviatolide; (-)-Pluviatolide; (3R,4R)-4-(2H-1,3-Benzodioxol-5-ylmethyl)-3-[(4-hydroxy-3-methoxyphe
C21203	ko01110	Biosynthesis of secondary metabolites	Geranyl phosphate
C21204	ko01110	Biosynthesis of secondary metabolites	5-epi-Valiolol 7-phosphate
C21205	ko01110	Biosynthesis of secondary metabolites	1-epi-Valienol 7-phosphate
C21206	ko01110	Biosynthesis of secondary metabolites	1,7-Diphospho-1-epi-valienol
C21207	ko01110	Biosynthesis of secondary metabolites	NDP-1-epi-valienol 7-phosphate
C21208	ko01110	Biosynthesis of secondary metabolites	dTDP-acarviose-7-phosphate
C21209	ko01110	Biosynthesis of secondary metabolites	1-epi-Valienol 1-phosphate
C21210	ko01110	Biosynthesis of secondary metabolites	NDP-1-epi-valienol
C21211	ko01110	Biosynthesis of secondary metabolites	Salbostatin 6'-phosphate
C21216	ko01110	Biosynthesis of secondary metabolites	Validamine 7-phosphate
C21217	ko01110	Biosynthesis of secondary metabolites	Geranylgeranyl bacteriochlorophyllide a
C21218	ko01110	Biosynthesis of secondary metabolites	Validone 7-phosphate
C21219	ko01110	Biosynthesis of secondary metabolites	Validoxylamine A 7'-phosphate
C21247	ko01110	Biosynthesis of secondary metabolites	2-Amino-5-epi-valiolone
C21248	ko01110	Biosynthesis of secondary metabolites	2-Aminovalienone
C21249	ko01110	Biosynthesis of secondary metabolites	Cetoniacytone B
C21251	ko01110	Biosynthesis of secondary metabolites	6'-Oxokanamycin X
C21252	ko01110	Biosynthesis of secondary metabolites	6'-Oxokanamycin C
C21253	ko01110	Biosynthesis of secondary metabolites	Kanamycin D
C21255	ko01110	Biosynthesis of secondary metabolites	Lividamine
C21256	ko01110	Biosynthesis of secondary metabolites	6'-Oxolividamine
C21257	ko01110	Biosynthesis of secondary metabolites	4'-Oxolividamine; 3'-Deoxy-4'-oxoparomamine
C21258	ko01110	Biosynthesis of secondary metabolites	4'-Oxonebramine
C21259	ko01110	Biosynthesis of secondary metabolites	Nebramine; 3'-Deoxyneamine
C21260	ko01110	Biosynthesis of secondary metabolites	5''-Phosphoribosylparomamine
C21261	ko01110	Biosynthesis of secondary metabolites	2'''-N-Acetyl-6'''-deamino-6'''-hydroxyparomomycin II
C21262	ko01110	Biosynthesis of secondary metabolites	6'''-Deamino-6'''-hydroxyparomomycin II
C21263	ko01110	Biosynthesis of secondary metabolites	6'''-Deamino-6'''-oxoparomomycin II
C21264	ko01110	Biosynthesis of secondary metabolites	5'''-epi-Lividomycin B
C21265	ko01110	Biosynthesis of secondary metabolites	3''-Oxogentamicin A2
C21266	ko01110	Biosynthesis of secondary metabolites	3''-Amino-3''-deoxygentamicin A2; 3''-Demethyl-gentamicin A
C21267	ko01110	Biosynthesis of secondary metabolites	6'-Oxogentamicin X2
C21268	ko01110	Biosynthesis of secondary metabolites	6'-Oxo-G418
C21269	ko01110	Biosynthesis of secondary metabolites	Antibiotic JI-20Ba; JI-20Ba
C21270	ko01110	Biosynthesis of secondary metabolites	Gentamicin C2a
C21284	ko01110	Biosynthesis of secondary metabolites	Fe-coproporphyrin III; Coproheme III
C21292	ko01110	Biosynthesis of secondary metabolites	Maduropeptin chromophore; (-)-Maduropeptin chromophore
C21293	ko01110	Biosynthesis of secondary metabolites	Validamycin B
C21295	ko01110	Biosynthesis of secondary metabolites	5-Methylphenazine-1-carboxylate
C21301	ko01110	Biosynthesis of secondary metabolites	Kedarcidin chromophore
C21306	ko01110	Biosynthesis of secondary metabolites	3,4-Dihydro-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate
C21307	ko01110	Biosynthesis of secondary metabolites	3,4-Dihydro-7-hydroxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate
C21308	ko01110	Biosynthesis of secondary metabolites	(S)-beta-Tyrosine
C21309	ko01110	Biosynthesis of secondary metabolites	(S)-beta-Tyrosyl-[pcp]
C21311	ko01110	Biosynthesis of secondary metabolites	3-(4-Hydroxyphenyl)-3-oxopropanoyl-[pcp]; 4'-Hydroxyphenyl-3-ketopropionyl-[pcp]
C21312	ko01110	Biosynthesis of secondary metabolites	6-Methylsalicylyl-CoA
C21313	ko01110	Biosynthesis of secondary metabolites	3,6-Dimethylsalicylyl-CoA
C21314	ko01110	Biosynthesis of secondary metabolites	NDP-D-mannose
C21315	ko01110	Biosynthesis of secondary metabolites	NDP-4-oxo-6-deoxy-D-mannose
C21316	ko01110	Biosynthesis of secondary metabolites	NDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose
C21317	ko01110	Biosynthesis of secondary metabolites	NDP-2-amino-4-oxo-2,6-dideoxy-D-galactose
C21318	ko01110	Biosynthesis of secondary metabolites	NDP-2-amino-2,6-dideoxy-D-galactose
C21319	ko01110	Biosynthesis of secondary metabolites	NDP-2-methylamino-2,6-dideoxy-D-galactose
C21320	ko01110	Biosynthesis of secondary metabolites	3,6,8-Trihydroxy-2-naphthoate; 3,6,8-Trihydroxy-2-naphthoic acid
C21321	ko01110	Biosynthesis of secondary metabolites	3,6,7,8-Tetrahydroxy-2-naphthoate
C21322	ko01110	Biosynthesis of secondary metabolites	3-Hydroxy-6,7,8-trimethoxy-2-naphthoate
C21323	ko01110	Biosynthesis of secondary metabolites	3-Hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoate; 3-Hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoic
C21324	ko01110	Biosynthesis of secondary metabolites	3-Hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA
C21325	ko01110	Biosynthesis of secondary metabolites	Azatyrosine; 2-Aza-L-tyrosine
C21326	ko01110	Biosynthesis of secondary metabolites	(R)-2-Aza-beta-tyrosine
C21327	ko01110	Biosynthesis of secondary metabolites	(R)-2-Aza-beta-tyrosyl-[pcp]
C21328	ko01110	Biosynthesis of secondary metabolites	(R)-2-Aza-3-chloro-beta-tyrosyl-[pcp]
C21330	ko01110	Biosynthesis of secondary metabolites	Aurachin C
C21337	ko01110	Biosynthesis of secondary metabolites	Calicheamicinone
C21338	ko01110	Biosynthesis of secondary metabolites	Calicheamicin T0
C21339	ko01110	Biosynthesis of secondary metabolites	4-Deoxy-4-thio-alpha-D-digitoxosyl-calicheamicin T0
C21340	ko01110	Biosynthesis of secondary metabolites	Calicheamicin PsAg
C21341	ko01110	Biosynthesis of secondary metabolites	Calicheamicin alpha1(I)
C21342	ko01110	Biosynthesis of secondary metabolites	Calicheamicin alpha3(I)
C21343	ko01110	Biosynthesis of secondary metabolites	Orsellinate-[acp]
C21344	ko01110	Biosynthesis of secondary metabolites	2-Methoxyorsellinate-[acp]
C21345	ko01110	Biosynthesis of secondary metabolites	5-Iodo-2-methoxyorsellinate-[acp]
C21346	ko01110	Biosynthesis of secondary metabolites	3-Hydroxy-5-iodo-2-methoxyorsellinate-[acp]
C21347	ko01110	Biosynthesis of secondary metabolites	5-Iodo-2,3-dimethoxyorsellinate-[acp]; 4-Hydroxy-5-iodo-2,3-dimethoxy-6-methylbenzoate-[acp]
C21348	ko01110	Biosynthesis of secondary metabolites	dTDP-4-hydroxyamino-4,6-dideoxy-alpha-D-glucose
C21349	ko01110	Biosynthesis of secondary metabolites	dTDP-4-deoxy-4-thio-alpha-D-digitoxose
C21350	ko01110	Biosynthesis of secondary metabolites	dTDP-3-O-methyl-beta-L-rhamnose
C21351	ko01110	Biosynthesis of secondary metabolites	dTDP-4-oxo-alpha-D-xylose; dTDP-4-keto-alpha-D-xylose; dTDP-4-dehydro-alpha-D-xylose
C21352	ko01110	Biosynthesis of secondary metabolites	dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene; dTDP-2-deoxy-4-keto-alpha-D-pentos-2-ene
C21353	ko01110	Biosynthesis of secondary metabolites	dTDP-4-oxo-2-deoxy-beta-L-xylose; dTDP-4-keto-2-deoxy-beta-L-xylose; dTDP-4-dehydro-2-deoxy-beta-L-x
C21354	ko01110	Biosynthesis of secondary metabolites	dTDP-4-amino-2,4-dideoxy-beta-L-xylose
C21355	ko01110	Biosynthesis of secondary metabolites	dTDP-4-methylamino-2,4-dideoxy-beta-L-xylose
C21356	ko01110	Biosynthesis of secondary metabolites	dTDP-4-ethylamino-3-O-methyl-2,4-dideoxy-L-threo-pentopyranose
C21357	ko01110	Biosynthesis of secondary metabolites	3-Hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-[acp]; 3-Hydroxy-4,6,8,10,12,14-hexadecahexaenoyl-[acp]
C21358	ko01110	Biosynthesis of secondary metabolites	1,3,5,7,9,11,13-Pentadecaheptaene
C21361	ko01110	Biosynthesis of secondary metabolites	3-(2-Chloro-3-hydroxy-4-methoxyphenyl)-3-hydroxypropanoyl-[pcp]
C21362	ko01110	Biosynthesis of secondary metabolites	dTDP-3-methyl-4-oxo-alpha-D-ribopyranose
C21363	ko01110	Biosynthesis of secondary metabolites	dTDP-madurosamine; dTDP-4-amino-3-methyl-4-deoxy-alpha-D-ribopyranose
C21367	ko01110	Biosynthesis of secondary metabolites	Valienol 1-phosphate
C21368	ko01110	Biosynthesis of secondary metabolites	GDP-valienol
C21372	ko01110	Biosynthesis of secondary metabolites	3-Phosphinomethylmalate; 3-(Hydrohydroxyphosphorylmethyl)malate
C21406	ko01110	Biosynthesis of secondary metabolites	(4aR,10bS)-Noroxomaritidine
C21408	ko01110	Biosynthesis of secondary metabolites	(1R,6R)-1,4,5,5a,6,9-Hexahydrophenazine-1,6-dicarboxylate
C21409	ko01110	Biosynthesis of secondary metabolites	(1R,10aS)-1,4,10,10a-Tetrahydrophenazine-1,6-dicarboxylate
C21410	ko01110	Biosynthesis of secondary metabolites	(5aS)-5,5a-Dihydrophenazine-1,6-dicarboxylate
C21411	ko01110	Biosynthesis of secondary metabolites	(1R,10aS)-1,4,10,10a-Tetrahydrophenazine-1-carboxylate
C21412	ko01110	Biosynthesis of secondary metabolites	(10aS)-10,10a-Dihydrophenazine-1-carboxylate
C21413	ko01110	Biosynthesis of secondary metabolites	(1R)-1,4,5,10-Tetrahydrophenazine-1-carboxylate
C21415	ko01110	Biosynthesis of secondary metabolites	Valienol 7-phosphate
C21425	ko01110	Biosynthesis of secondary metabolites	Abieta-8,11,13-triene
C21427	ko01110	Biosynthesis of secondary metabolites	8,12-Diethyl-3-vinylbacteriochlorophyllide d
C21428	ko01110	Biosynthesis of secondary metabolites	12-Ethyl-8-propyl-3-vinylbacteriochlorophyllide d
C21429	ko01110	Biosynthesis of secondary metabolites	12-Ethyl-8-isobutyl-3-vinylbacteriochlorophyllide d
C21430	ko01110	Biosynthesis of secondary metabolites	Malonamoyl-[acyl-carrier protein]; Malonamoyl-[acp]
C21439	ko01110	Biosynthesis of secondary metabolites	11a-Hydroxy-7-chlortetracycline
C21442	ko01110	Biosynthesis of secondary metabolites	Phenazine-1-carboxylate
C21452	ko01110	Biosynthesis of secondary metabolites	(2-Aminobenzoyl)acetyl-CoA; 2-Aminobenzoylacetyl-CoA
C21453	ko01110	Biosynthesis of secondary metabolites	(2-Aminobenzoyl)acetate; 2-Aminobenzoylacetate
C21459	ko01110	Biosynthesis of secondary metabolites	6-Hydroxyferuloyl-CoA
C21473	ko01110	Biosynthesis of secondary metabolites	(1R,5aS,6R)-4a-Hydroxy-1,4,4a,5,5a,6,9,10a-octahydrophenazine-1,6-dicarboxylate
C21474	ko01110	Biosynthesis of secondary metabolites	5,10-Dihydrophenazine-1,6-dicarboxylate
C21475	ko01110	Biosynthesis of secondary metabolites	5,10-Dihydrophenazine
C21476	ko01110	Biosynthesis of secondary metabolites	Phenazine; Dibenzopyrazine; Acridizine
C21477	ko01110	Biosynthesis of secondary metabolites	1-Hydroxyphenazine
C21488	ko01110	Biosynthesis of secondary metabolites	S-Anthraniloyl-L-cysteinyl-protein
C21489	ko01110	Biosynthesis of secondary metabolites	S-Octanoyl-L-cysteinyl-protein
C21490	ko01110	Biosynthesis of secondary metabolites	1-(2-Aminophenyl)decane-1,3-dione
C21510	ko01110	Biosynthesis of secondary metabolites	Nickel-sirohydrochlorin; Ni-sirohydrochlorin
C21511	ko01110	Biosynthesis of secondary metabolites	Nickel-sirohydrochlorin a,c-diamide; Ni-sirohydrochlorin a,c-diamide
C21512	ko01110	Biosynthesis of secondary metabolites	15,17(3)-Seco-F430-17(3)-acid
C21559	ko01110	Biosynthesis of secondary metabolites	N-[(2S)-2-Amino-2-carboxyethyl]-L-glutamate
C21560	ko01110	Biosynthesis of secondary metabolites	ent-Sandaracopimaradien-3beta-ol; (3R,4aR,4bR,7S,10aS)-7-Ethenyl-1,1,4a,7-tetramethyl-1,2,3,4,4a,4b,
C21561	ko01110	Biosynthesis of secondary metabolites	Oryzalexin E; ent-Sandaracopimaradiene-3beta,9alpha-diol; (3R,4aR,4bS,7S,10aR)-7-Ethenyl-1,1,4a,7-te
C21562	ko01110	Biosynthesis of secondary metabolites	Oryzalexin D; ent-Sandaracopimaradiene-3beta,7alpha-diol
C21565	ko01110	Biosynthesis of secondary metabolites	Prodigiosin; 4-Methoxy-5-((5-methyl-4-pentyl-2H-pyrrol-2-ylidene)methyl)-2,2'-bipyrrole
C21566	ko01110	Biosynthesis of secondary metabolites	6-O-Methyldeacetylisoipecoside; 6-O-Methyl-N-deacetylisoipecoside
C21567	ko01110	Biosynthesis of secondary metabolites	Pyrrolyl-2-carboxyl-S-[acyl-carrier protein]; Pyrrolyl-2-carboxyl-S-[acp]
C21568	ko01110	Biosynthesis of secondary metabolites	4-Hydroxy-2,2'-bipyrrole-5-methanol
C21569	ko01110	Biosynthesis of secondary metabolites	4-Hydroxy-2,2'-bipyrrole-5-carbaldehyde
C21570	ko01110	Biosynthesis of secondary metabolites	4-Methoxy-2,2'-bipyrrole-5-carbaldehyde; 4-Methoxy-2,2'-bipyrrole-5-carboxaldehyde
C21571	ko01110	Biosynthesis of secondary metabolites	2-Methyl-3-n-amyl-dihydropyrrole
C21572	ko01110	Biosynthesis of secondary metabolites	2-Methyl-3-n-amyl-pyrrole; 2-Methyl-3-pentylpyrrole; 2-Methyl-3-amylpyrrole
C21573	ko01110	Biosynthesis of secondary metabolites	4-Keto-2-undecylpyrroline; 4-Keto-2-undecyl-4,5-dihydropyrrole
C21574	ko01110	Biosynthesis of secondary metabolites	2-Undecylpyrrole
C21582	ko01110	Biosynthesis of secondary metabolites	Bacteriochlorophyllide e
C21583	ko01110	Biosynthesis of secondary metabolites	6-O-Methyl-N-deacetylisoipecoside aglycon
C21584	ko01110	Biosynthesis of secondary metabolites	7'-O-Demethylcephaeline
C21586	ko01110	Biosynthesis of secondary metabolites	(S)-1-Hydroxy-cis-N-methylcanadine
C21587	ko01110	Biosynthesis of secondary metabolites	(13S,14R)-1,13-Dihydroxy-cis-N-methylcanadine
C21588	ko01110	Biosynthesis of secondary metabolites	(13S,14R)-13-O-Acetyl-1-hydroxy-cis-N-methylcanadine
C21589	ko01110	Biosynthesis of secondary metabolites	(13S,14R)-13-O-Acetyl-1,8-dihydroxy-cis-N-methylcanadine
C21590	ko01110	Biosynthesis of secondary metabolites	4'-O-Desmethyl-3-O-acetylpapaveroxine; 3-O-Acetyl-4'-O-demethylpapaveroxine
C21591	ko01110	Biosynthesis of secondary metabolites	3-O-Acetylpapaveroxine
C21599	ko01110	Biosynthesis of secondary metabolites	4'-O-Desmethylpapaveroxine
C21600	ko01110	Biosynthesis of secondary metabolites	Narcotoline hemiacetal
C21601	ko01110	Biosynthesis of secondary metabolites	3-(Aminomethyl)indole; (1H-Indol-3-yl)methanamine
C21602	ko01110	Biosynthesis of secondary metabolites	(1H-Indol-3-yl)-N-methylmethanamine
C21630	ko01110	Biosynthesis of secondary metabolites	(S)-Norlaudanine
C21631	ko01110	Biosynthesis of secondary metabolites	(S)-Tetrahydropapaverine
C21634	ko01110	Biosynthesis of secondary metabolites	Norcraugsodine
C21635	ko01110	Biosynthesis of secondary metabolites	(4aR,10bS)-Normaritidine; Macowine
C21646	ko01110	Biosynthesis of secondary metabolites	8-Amino-8-demethylriboflavin
C21647	ko01110	Biosynthesis of secondary metabolites	Roseoflavin; 8-Demethyl-8-(dimethylamino)riboflavin
C21648	ko01110	Biosynthesis of secondary metabolites	8-Demethyl-8-(methylamino)riboflavin
C21656	ko01110	Biosynthesis of secondary metabolites	ent-8alpha-Hydroxylabd-13-en-15-yl diphosphate
C21678	ko01110	Biosynthesis of secondary metabolites	(3R)-3-Hydroxy-16-methoxy-1,2-didehydro-2,3-dihydrotabersonine
C21682	ko01110	Biosynthesis of secondary metabolites	(3R)-3-Hydroxy-2,3-dihydrotabersonine
C21683	ko01110	Biosynthesis of secondary metabolites	(3R)-3-Hydroxy-1,2-didehydro-2,3-dihydrotabersonine
C21709	ko01110	Biosynthesis of secondary metabolites	Nezukol; Pimar-15-en-8-ol
C21714	ko01110	Biosynthesis of secondary metabolites	ent-13-epi-Manoyl oxide; (13R)-ent-8,13-Epoxylabd-14-ene
C21723	ko01110	Biosynthesis of secondary metabolites	Biliverdin-IX-delta
C21735	ko01110	Biosynthesis of secondary metabolites	(-)-Kolavenyl diphosphate; (2E)-5-[(1R,2S,4aS,8aS)-1,2,4a,5-Tetramethyl-1,2,3,4,4a,7,8,8a-octahydron
C21762	ko01110	Biosynthesis of secondary metabolites	4-Hydroxytryptamine
C21770	ko01110	Biosynthesis of secondary metabolites	4,4'-Diapolycopene-4,4'-dioate
C21778	ko01110	Biosynthesis of secondary metabolites	Norbaeocystin; 4-Hydroxytryptamine 4-phosphate
C21779	ko01110	Biosynthesis of secondary metabolites	Baeocystin; 4-Hydroxy-N-methyltryptamine 4-phosphate
C21796	ko01110	Biosynthesis of secondary metabolites	11-Hydroxyferruginol
C21803	ko01110	Biosynthesis of secondary metabolites	8-Demethyl-8-formylriboflavin 5'-phosphate
C21804	ko01110	Biosynthesis of secondary metabolites	8-Carboxy-8-demethylriboflavin 5'-phosphate; 8-Demethyl-8-carboxyriboflavin 5'-phosphate
C21805	ko01110	Biosynthesis of secondary metabolites	8-Amino-8-demethylriboflavin 5'-phosphate; 8-Demethyl-8-aminoriboflavin 5'-phosphate
C21818	ko01110	Biosynthesis of secondary metabolites	Carnosic acid; Salvin; 11,12-Dihydroxyabieta-8,11,13-trien-20-oic acid
C21819	ko01110	Biosynthesis of secondary metabolites	Salviol; Abieta-8,11,13-triene-2alpha,12-diol
C21822	ko01110	Biosynthesis of secondary metabolites	Sugiol; 12-Hydroxyabieta-8,11,13-trien-7-one
C21823	ko01110	Biosynthesis of secondary metabolites	11-Hydroxysugiol
C21824	ko01110	Biosynthesis of secondary metabolites	11,20-Dihydroxysugiol
C21825	ko01110	Biosynthesis of secondary metabolites	9beta-Pimara-7,15-diene-3beta-ol
